都道府県コード,都道府県,小売_中央値,食品_中央値,公園_中央値,駅_中央値,居住空間_中央値,職場_中央値,小売_clu,公園_clu,駅_clu,居住空間_clu,職場_clu
1,北海道,-12,1,-3,-20,4,-9,-1,1,0,-1,-1
2,青森県,-2,2,11.5,-14,2,-6,1,1,0,-1,0
3,岩手県,-2,4,12,-17,3,-4,0,1,0,-1,0
4,宮城県,-7,3,3,-23,5,-9,0,0,-1,0,-1
5,秋田県,1,6,37,-14.5,3,-5.5,1,1,0,-1,0
6,山形県,-1,6,21,-16,3,-4,1,1,1,-1,1
7,福島県,-5,3,8,-19,4,-7,0,1,0,-1,0
8,茨城県,-6,2,-5,-23,5,-7,0,0,-1,0,0
9,栃木県,-8,2,1.5,-21,5,-7,0,0,0,0,0
10,群馬県,-7,2,3,-19,5,-7,0,0,0,0,0
11,埼玉県,-8,3,-4.5,-24,7,-13,0,0,-1,1,-1
12,千葉県,-10,3,-3,-26,8,-12,0,0,-1,1,-1
13,東京都,-26,-2,-18,-31,11,-22,-1,-1,-1,1,-1
14,神奈川県,-11,4,-5,-24,9,-16,-1,0,-1,1,-1
15,新潟県,-1,5,8,-20,4,-6,1,1,0,-1,0
16,富山県,-1,9,8,-14,4,-4,1,1,0,-1,0
17,石川県,-9,6,1,-26,4,-7,1,1,-1,-1,0
18,福井県,-7,6,17,-1,4,-6,1,1,1,-1,0
19,山梨県,-6,0,3,-20,4,-6,0,1,1,0,0
20,長野県,-8,3,-3,-21,4,-6,0,0,0,-1,0
21,岐阜県,-7,4,-12,-15,5,-6,0,-1,0,0,0
22,静岡県,-8,1,-10,-25,5,-8,0,-1,-1,0,0
23,愛知県,-11,2,-5,-24,6,-9,-1,-1,-1,0,-1
24,三重県,-11,2,-13,-24,5,-7,-1,-1,-1,0,0
25,滋賀県,-6,5,9,-25,5,-9,0,1,-1,0,-1
26,京都府,-13,3,-10,-28,6,-12,-1,-1,-1,0,-1
27,大阪府,-17,1,-15,-26,6,-12,-1,-1,-1,0,-1
28,兵庫県,-10,4,-4,-22,5,-10,-1,-1,-1,0,-1
29,奈良県,-6,3,-12,-16,5,-7,0,-1,0,0,0
30,和歌山県,-8,8,5,-14,4,-5,0,1,0,0,1
31,鳥取県,-3,8,6,-19,3,-2,1,1,0,-1,1
32,島根県,-6,2,16,-10,3,-5,1,1,1,-1,0
33,岡山県,-8,1,2,-22,4,-6.5,0,0,0,0,0
34,広島県,-12,2,-4,-25,5,-8,-1,-1,-1,0,-1
35,山口県,-8,4,-1,-15,4,-6,-1,-1,0,0,0
36,徳島県,-8,4,0,-10,4,-7,0,-1,1,0,0
37,香川県,-10,2,-6,-21,5,-6,-1,-1,0,0,0
38,愛媛県,-9,2,1,-21,4,-6,-1,-1,0,0,0
39,高知県,-10,-1,1,-15,4,-8,-1,0,1,0,0
40,福岡県,-12,-1,-4,-29,5,-10,-1,-1,-1,0,-1
41,佐賀県,-5,1,-4,-22,4,-8,0,-1,0,0,0
42,長崎県,-5,4,-10,-21,4,-4,0,-1,0,0,1
43,熊本県,-9,1,-5,-19,4.5,-10,-1,-1,0,0,-1
44,大分県,-8,-1,-15,-17,4,-8,0,-1,0,0,0
45,宮崎県,-10,-1,-10,-5,4,-7,-1,-1,1,0,0
46,鹿児島県,-5,3.5,-6,-22,4,-4,0,-1,0,0,1
47,沖縄県,-19,-6,-34,-29,6,-13,-1,-1,-1,0,-1
